acquisition_batch_id,ranking_position,candidate_id,original_screening_rank,title,priority_score,ranking_run_id
FAB_20260803T154649Z,1,titleyear:techniques for plant feature extraction and segmentation a survey:2024,354,Techniques for plant feature extraction and segmentation: A survey,7.0,
FAB_20260803T154649Z,2,doi:10.3390/rs12193164,321,Fusion of Spectral and Structural Information from Aerial Images for Improved Biomass Estimation,7.708,
FAB_20260803T154649Z,3,doi:10.1109/i2mtc.2019.8826921,182,Vision-Based Deep Learning Approach for Real-Time Detection of Weeds in Organic Farming,10.977,
FAB_20260803T154649Z,4,doi:10.1109/wacv51458.2022.00302,223,In-Field Phenotyping Based on Crop Leaf and Plant Instance Segmentation,9.672,
FAB_20260803T154649Z,5,doi:10.1109/lra.2023.3293356,207,Unsupervised Generation of Labeled Training Images for Crop-Weed Segmentation in New Fields and on Different Robotic Platforms,10.041,
FAB_20260803T154649Z,6,doi:10.1109/mra.2023.3321402,192,Field Robot for High-Throughput and High-Resolution 3D Plant Phenotyping: Towards Efficient and Sustainable Crop Production,10.491,
FAB_20260803T154649Z,7,titleyear:a plant image dataset with high label ambiguity and a:,504,: a plant image dataset with high label ambiguity and a,4.0,
FAB_20260803T154649Z,8,doi:10.1145/1289603.1289610,448,Knowledge and heuristic-based modeling of laser-scanned trees,4.996,
FAB_20260803T154649Z,9,doi:10.1109/agro-geoinformatics59224.2023.10233389,253,SegFormer-Based Cotton Planting Areas Extraction from High-Resolution Remote Sensing Images,9.199,
FAB_20260803T154649Z,10,doi:10.1104/pp.114.248971,468,Automated Recovery of Three-Dimensional Models of Plant Shoots from Multiple Color Images1[C][W][OPEN],4.146,
FAB_20260803T154649Z,11,doi:10.5281/zenodo.17217565,144,2023-2025 Tomato dataset,11.801,
FAB_20260803T154649Z,12,doi:10.1016/j.compag.2023.107716,439,Automated pruning decisions in dormant sweet cherry canopies using instance segmentation,5.431,
FAB_20260803T154649Z,13,doi:10.1016/j.compag.2020.105277,404,Deep learning based segmentation for automated training of apple trees on trellis wires,6.167,
FAB_20260803T154649Z,14,doi:10.1016/j.compag.2025.111167,218,"Recent developments and applications of weed detection, invasion prediction and early warning: A review",9.845,
FAB_20260803T154649Z,15,doi:10.1109/access.2024.3450904,197,Advancements in Precision Spraying of Agricultural Robots: A Comprehensive Review,10.339,
FAB_20260803T154649Z,16,doi:10.1109/iccvw60793.2023.00057,335,Weed Mapping with Convolutional Neural Networks on High Resolution Whole-Field Images,7.454,
FAB_20260803T154649Z,17,doi:10.5073/20220124-075254,169,Better-Weeds – Next generation weed management,11.301,
FAB_20260803T154649Z,18,doi:10.3390/rs16244720,69,A 3D Surface Reconstruction Pipeline for Plant Phenotyping,14.041,
FAB_20260803T154649Z,19,doi:10.1016/j.compag.2019.02.005,244,A review on weed detection using ground-based machine vision and image processing techniques,9.315,
FAB_20260803T154649Z,20,doi:10.14459/2023mp1717366,339,Manually annotated and curated dataset of diverse weed species in maize and sorghum for computer vision,7.301,
FAB_20260803T154649Z,21,doi:10.1016/j.compag.2015.05.021,443,Sensors and systems for fruit detection and localization: A review,5.215,
FAB_20260803T154649Z,22,titleyear:estimating leaf nitrogen accumulation considering vertical leaf layers in winter wheat:,549,Estimating leaf nitrogen accumulation considering vertical leaf layers in winter wheat,1.0,
FAB_20260803T154649Z,23,doi:10.13031/aim.202301280,343,Weed Database Development: An Updated Survey of Public Weed Datasets and Cross-Season Weed Detection Adaptation,7.114,
FAB_20260803T154649Z,24,doi:10.1016/j.asoc.2020.106597,280,Uncertainty quantification for plant disease detection using Bayesian deep learning,8.607,
FAB_20260803T154649Z,25,doi:10.1016/j.compag.2019.06.001,511,Fruit detection for strawberry harvesting robot in non-structural environment based on Mask-RCNN,3.802,
FAB_20260803T154649Z,26,doi:10.1007/978-3-032-07837-7_14,351,Harnessing Deep Learning for Efficient Rice Disease Detection with CNN and Advanced Transfer Learning Techniques,7.0,
FAB_20260803T154649Z,27,doi:10.1109/ietc69527.2026.11568606,120,Field-Scale Persistent Plant Mapping with Vision and GPS,12.5,
FAB_20260803T154649Z,28,doi:10.1016/j.isprsjprs.2018.04.012,523,Extracting leaf area index using viewing geometry effects—A new perspective on high-resolution unmanned aerial system photography,2.991,
FAB_20260803T154649Z,29,doi:10.1016/s0034-4257(02)00096-2,494,Overview of the radiometric and biophysical performance of the MODIS vegetation indices,4.0,
FAB_20260803T154649Z,30,doi:10.1016/j.asoc.2015.08.027,372,A semi-supervised system for weed mapping in sunflower crops using unmanned aerial vehicles and a crop row detection method,6.83,
FAB_20260803T154649Z,31,doi:10.1109/aimla63829.2025.11040883,167,Deep Learning-Based Evaluation of Models for Rice and Sorghum Weed Classification Using the MFWD Dataset,11.301,
FAB_20260803T154649Z,32,doi:10.1007/s10343-024-01054-z,319,Advanced CNN Approach for Segmentation of Diseased Areas in Plant Images,7.778,
FAB_20260803T154649Z,33,doi:10.3390/agriengineering6030119,373,Growth Monitoring of Greenhouse Tomatoes Based on Context Recognition,6.801,
FAB_20260803T154649Z,34,doi:10.1016/j.compag.2018.05.012,364,Machine learning approaches for crop yield prediction and nitrogen status estimation in precision agriculture: A review,7.0,
FAB_20260803T154649Z,35,doi:10.1016/j.compag.2021.106150,424,"Apple, peach, and pear flower detection using semantic segmentation network and shape constraint level set",5.954,
FAB_20260803T154649Z,36,doi:10.1016/j.compag.2019.105091,341,Fine-tuning convolutional neural network with transfer learning for semantic segmentation of ground-level oilseed rape images in a field with high weed pressure,7.217,
