attempt_id,run_id,paper_id,candidate_id,source,artifact_type,url,started_at,completed_at,status,http_status,final_url,content_type,size_bytes,sha256,stored_path,license,version,rights_status,error
FTATT_3de3f9520d5767a0bba6,FTA_20260722T193927Z,doi:10.1038/s41597-024-02945-6,FTC_d296c48929796346a3e7,pmc_oai,jats_xml,https://pmc.ncbi.nlm.nih.gov/api/oai/v1/mh/?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:10805845&metadataPrefix=pmc,2026-07-22T19:39:29Z,2026-07-22T19:39:32Z,failed,,,,,,,pmc-oai-reuse-eligible-record,publishedVersion,free_to_read_unknown_reuse,HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/api/oai/v1/mh/?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:10805845&metadataPrefix=pmc
FTATT_4d626a3012279c4dc4ba,FTA_20260722T193927Z,doi:10.1038/s41597-024-02945-6,FTC_0c2f22a2acc9f446851e,europe_pmc,jats_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10805845/fullTextXML,2026-07-22T19:39:32Z,2026-07-22T19:39:32Z,success,200,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10805845/fullTextXML,application/xml,90654,90bd6528428cf51d0381a20530fb61b7edcf8459e39c6d591e8d37ddf72c17ab,data/raw/fulltext/doi_10.1038_s41597-024-02945-6/90bd6528428cf51d/source.xml,repository_record,publishedVersion,free_to_read_unknown_reuse,
FTATT_b7e8279faaeeaf5795eb,FTA_20260722T193927Z,doi:10.1038/s41597-024-02945-6,FTC_247fc0c8e9b0de4118f5,europe_pmc,pdf,https://europepmc.org/articles/PMC10805845?pdf=render,2026-07-22T19:39:32Z,2026-07-22T19:39:38Z,success,200,https://europepmc.org/api/getPdf?pmcid=PMC10805845,application/pdf,2616080,2ec43f74ab9a4d544ce6093cab789b93617b812f0c94a0024db2aa549edc2787,data/raw/fulltext/doi_10.1038_s41597-024-02945-6/2ec43f74ab9a4d54/source.pdf,repository_record,publishedVersion,free_to_read_unknown_reuse,
FTATT_108adaad38e3fba3d9fa,FTA_20260722T193927Z,doi:10.1038/s41598-025-05092-z,FTC_94fd84322a13c5108600,pmc_oai,jats_xml,https://pmc.ncbi.nlm.nih.gov/api/oai/v1/mh/?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:12222661&metadataPrefix=pmc,2026-07-22T19:39:39Z,2026-07-22T19:39:42Z,failed,,,,,,,pmc-oai-reuse-eligible-record,publishedVersion,free_to_read_unknown_reuse,HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/api/oai/v1/mh/?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:12222661&metadataPrefix=pmc
FTATT_5ede5561010e235b2827,FTA_20260722T193927Z,doi:10.1038/s41598-025-05092-z,FTC_4f56eabbfdcf4baf4ae6,europe_pmc,jats_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12222661/fullTextXML,2026-07-22T19:39:42Z,2026-07-22T19:39:42Z,success,200,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC12222661/fullTextXML,application/xml,309670,bb0df47fd2da0baeacc9f7f71022534b626a1cd51a847625dc218ee0e3ecf7c3,data/raw/fulltext/doi_10.1038_s41598-025-05092-z/bb0df47fd2da0bae/source.xml,repository_record,publishedVersion,free_to_read_unknown_reuse,
FTATT_c8943d1ca353086e1bce,FTA_20260722T193927Z,doi:10.1038/s41598-025-05092-z,FTC_a2f0e51519a20fb42d30,europe_pmc,pdf,https://europepmc.org/articles/PMC12222661?pdf=render,2026-07-22T19:39:42Z,2026-07-22T19:39:54Z,success,200,https://europepmc.org/api/getPdf?pmcid=PMC12222661,application/pdf,5261583,7e3ab7b324eb8bb52a5e1564644970d75f3960d224244f8939fc7dbff5207cfc,data/raw/fulltext/doi_10.1038_s41598-025-05092-z/7e3ab7b324eb8bb5/source.pdf,repository_record,publishedVersion,free_to_read_unknown_reuse,
FTATT_4bbf8cf7c0b5ed2b6052,FTA_20260722T193927Z,doi:10.48550/arxiv.2512.01753,FTC_93fe1006e051ab8106c8,arxiv,pdf,https://arxiv.org/pdf/2512.01753,2026-07-22T19:40:02Z,2026-07-22T19:40:27Z,success,200,https://arxiv.org/pdf/2512.01753,application/pdf,9174741,3dfe3c589d0352a1dc988ebbb66a50a6b3dbc2e4035c8de8b69709503911b89e,data/raw/fulltext/doi_10.48550_arxiv.2512.01753/3dfe3c589d0352a1/source.pdf,arxiv-distribution,submittedVersion,free_to_read_unknown_reuse,
FTATT_7a63b241b8f4e3dcceee,FTA_20260722T193927Z,doi:10.1038/s41597-026-07092-8,FTC_4b782e21cb18b98936dc,pmc_oai,jats_xml,https://pmc.ncbi.nlm.nih.gov/api/oai/v1/mh/?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:13253868&metadataPrefix=pmc,2026-07-22T19:40:34Z,2026-07-22T19:40:37Z,failed,,,,,,,pmc-oai-reuse-eligible-record,publishedVersion,free_to_read_unknown_reuse,HTTPError: 403 Client Error: Forbidden for url: https://pmc.ncbi.nlm.nih.gov/api/oai/v1/mh/?verb=GetRecord&identifier=oai:pubmedcentral.nih.gov:13253868&metadataPrefix=pmc
FTATT_65b85cda3218e703d897,FTA_20260722T193927Z,doi:10.1038/s41597-026-07092-8,FTC_3b39ba83277a0de00897,europe_pmc,jats_xml,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13253868/fullTextXML,2026-07-22T19:40:37Z,2026-07-22T19:40:38Z,success,200,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13253868/fullTextXML,application/xml,118680,1706ac9ccb0fdc8a1249fec9d46db625e480263a794f6a7cd1b9fda83f0c390a,data/raw/fulltext/doi_10.1038_s41597-026-07092-8/1706ac9ccb0fdc8a/source.xml,repository_record,publishedVersion,free_to_read_unknown_reuse,
FTATT_a173c9022722a4f75a17,FTA_20260722T193927Z,doi:10.1038/s41597-026-07092-8,FTC_c6319f51757a985e1929,europe_pmc,pdf,https://europepmc.org/articles/PMC13253868?pdf=render,2026-07-22T19:40:38Z,2026-07-22T19:40:47Z,success,200,https://europepmc.org/api/getPdf?pmcid=PMC13253868,application/pdf,6423174,525d7842a75bebdc6333587095ea8874c9b348c388009c1f8646884f42a69fb5,data/raw/fulltext/doi_10.1038_s41597-026-07092-8/525d7842a75bebdc/source.pdf,repository_record,publishedVersion,free_to_read_unknown_reuse,
