review_id,paper_id,extraction_id,decision,text_quality,layout_quality,table_quality,figure_quality,reference_quality,page_grounding_quality,preferred_text_source,needs_visual_review,reviewer,reviewed_at,notes
QAR_doi_10.1038_s41597-024-02945-6,doi:10.1038/s41597-024-02945-6,FTE_14b181f746a08c9d4df7,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.1038_s41598-025-05092-z,doi:10.1038/s41598-025-05092-z,FTE_e9819ef49ceee80c5aed,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_arxiv_260522034,arxiv:260522034,,needs_review,good,good,good,good,good,missing,docling,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification
QAR_doi_10.1038_s41597-026-07092-8,doi:10.1038/s41597-026-07092-8,,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.3389_fagro.2025.1629681,doi:10.3389/fagro.2025.1629681,,needs_review,good,good,good,good,good,missing,grobid,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.3389_fpls.2026.1761249,doi:10.3389/fpls.2026.1761249,,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.3390_jimaging12050192,doi:10.3390/jimaging12050192,,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.48550_arxiv.2505.07444,doi:10.48550/arxiv.2505.07444,,needs_review,good,good,good,good,good,missing,grobid,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.48550_arxiv.2512.01753,doi:10.48550/arxiv.2512.01753,,needs_review,good,good,good,good,good,missing,grobid,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.48550_arxiv.2603.29941,doi:10.48550/arxiv.2603.29941,,needs_review,good,good,good,good,good,missing,grobid,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.48550_arxiv.2604.09907,doi:10.48550/arxiv.2604.09907,FTE_2326e84ee083b6d35873,needs_review,good,good,good,good,good,missing,grobid,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.1016_j.dib.2026.112642,doi:10.1016/j.dib.2026.112642,,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.1038_s41598-018-38343-3,doi:10.1038/s41598-018-38343-3,,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
QAR_doi_10.1186_s13007-023-01060-8,doi:10.1186/s13007-023-01060-8,,needs_review,good,good,good,good,good,missing,publisher_xml,True,automated,2026-07-27T20:24:06Z,tables or figures require visual verification; docling: FileNotFoundError: [WinError 3] The system cannot find the path specified
