error_id,run_id,paper_id,source,error,recorded_at
FTERR_110a3303f2cf40bfc1ab,FTA_20260722T193927Z,doi:10.48550/arxiv.2512.01753,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2512.01753,2026-07-22T19:46:24Z
FTERR_8045e6a54a6f39830f8b,FTA_20260722T193927Z,doi:10.48550/arxiv.2505.07444,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2505.07444,2026-07-22T19:46:24Z
FTERR_d888162b880f5e973048,FTA_20260722T193927Z,doi:10.48550/arxiv.2603.29941,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2603.29941,2026-07-22T19:46:24Z
FTERR_5ccd575c6e8672eed244,FTA_20260722T193927Z,doi:10.48550/arxiv.2604.09907,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2604.09907,2026-07-22T19:46:24Z
FTERR_422db1060e267527052d,FTA_20260724T103131Z,doi:10.48550/arxiv.2512.01753,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2512.01753,2026-07-24T10:37:08Z
FTERR_80c67a801375bf01a909,FTA_20260724T103131Z,doi:10.48550/arxiv.2505.07444,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2505.07444,2026-07-24T10:37:08Z
FTERR_f531719639b612e401e8,FTA_20260724T103131Z,doi:10.48550/arxiv.2407.21150,crossref,"ConnectionError: ('Connection aborted.', ConnectionResetError(10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None))",2026-07-24T10:37:08Z
FTERR_7306233d4a6319519c82,FTA_20260727T224846Z,doi:10.48550/arxiv.2411.11285,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2411.11285,2026-07-27T22:54:56Z
FTERR_5eba4bdd10df22179450,FTA_20260728T220416Z,doi:10.48550/arxiv.2403.00566,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2403.00566,2026-07-28T22:07:31Z
FTERR_aa48eb35d1bd90cac337,FTA_20260728T220416Z,doi:10.48550/arxiv.2404.02580,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2404.02580,2026-07-28T22:07:31Z
FTERR_13dd526be74395d0bf97,FTA_20260729T182651Z,doi:10.6084/m9.figshare.28270742,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.6084%2Fm9.figshare.28270742,2026-07-29T18:29:41Z
FTERR_d7d76fa07bea05af3ff4,FTA_20260729T182651Z,doi:10.48550/arxiv.2407.21150,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2407.21150,2026-07-29T18:29:41Z
FTERR_84f467594911e63b7775,FTA_20260729T183300Z,doi:10.60507/fk2/ox9xtm,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.60507%2Ffk2%2Fox9xtm,2026-07-29T18:35:53Z
FTERR_d4cd6331403ad491181b,FTA_20260729T183300Z,doi:10.48550/arxiv.2503.05568,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.48550%2Farxiv.2503.05568,2026-07-29T18:35:53Z
FTERR_c718594ac3cee63e233b,FTA_20260729T183300Z,doi:10.18420/giljt2025_02,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.18420%2Fgiljt2025_02,2026-07-29T18:35:53Z
FTERR_ed1932c0135d160d90c7,FTA_20260803T005806Z,doi:10.6084/m9.figshare.29222462,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.6084%2Fm9.figshare.29222462,2026-08-03T01:05:24Z
FTERR_12430b3968bfb8c19183,FTA_20260803T005806Z,doi:10.5447/ipk/2025/14,crossref,HTTPError: 404 Client Error: Not Found for url: https://api.crossref.org/works/10.5447%2Fipk%2F2025%2F14,2026-08-03T01:05:24Z
