score_id,candidate_id,included_order,original_screening_rank,title,project_fit,dataset_evidence_value,method_gap_value,decision_leverage,actual_use_likelihood,evidence_specificity,information_uncertainty,estimated_reading_cost,primary_role,primary_theme,dataset_cluster,task_cluster,modality_cluster,score_confidence,evidence_note,reviewer,model,protocol_version,scored_at,supersedes_score_id,notes
PR_4e59387559d63b83,doi:10.1038/s41597-024-02945-6,1,1,Manually annotated and curated Dataset of diverse Weed Species in Maize and Sorghum for Computer Vision,2,4,1,1,1,1,1,2,dataset_introduction,crop_weed_segmentation,MFWD;SoyCotton,classification;object_detection;instance_segmentation,RGB,high,Manually annotated and curated Dataset of diverse Weed Species in Maize and Sorghum for Computer Vision,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_c1d2e3f4,doi:10.1038/s41598-025-05092-z,2,3,WeedSwin hierarchical vision transformer with SAM-2 for multi-stage weed detection and classification,4,4,3,3,4,4,3,3,dataset_introduction,crop_weed_segmentation,AWD;BWD;MFWD,object_detection,RGB,high,"WeedSwin transformer + SAM-2 for multi-stage weed detection; introduces AWD (203K) and BWD (120K) datasets; 0.993 mAP; 16 species, 11 growth stages",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
SC_u3v4w5x6,doi:10.48550/arxiv.2512.01753,3,4,AgriLiRa4D: A Multi-Sensor UAV Dataset for Robust SLAM in Challenging Agricultural Fields,3,4,4,3,1,4,3,2,dataset_introduction,cross_sensor_or_domain_shift,AgriLiRa4D;WeedsGalore,slam,lidar;radar;imu,high,"Multi-sensor UAV dataset for robust SLAM in challenging ag fields; LiDAR+4D Radar+IMU; addresses low-texture, repetitive patterns, dynamic vegetation",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_51bf217684607b22,doi:10.1038/s41597-026-07092-8,4,5,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,3,4,1,2,1,1,1,2,segmentation_method,other,MFWD;SoyCotton,detection;segmentation,RGB,high,A Leaf-Level Dataset for Soybean-Cotton Detection and Segmentation,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_078066a2319d4026,doi:10.3390/electronics14204082,5,6,A Low-Cost UAV System and Dataset for Real-Time Weed Detection in Salad Crops,2,4,1,1,1,3,2,2,dataset_introduction,remote_sensing_uav,AgriAdapt;WeedsGalore,semantic_segmentation,RGB;UAV,high,A Low-Cost UAV System and Dataset for Real-Time Weed Detection in Salad Crops,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_a0b1a4a07db7a7e4,doi:10.48550/arxiv.2505.07444,6,7,Lightweight Multispectral Crop-Weed Segmentation for Precision Agriculture,4,2,4,3,4,4,3,2,multimodal_or_sensor_method,multispectral_reliability,WeedsGalore,semantic_segmentation,RGB;NIR;multispectral,high,Lightweight transformer-CNN hybrid for RGB+NIR+RE crop-weed segmentation; 78.88% mIoU (+15.8pp vs RGB); 8.7M params; directly addresses multispectral modality value,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_d3d85d73d0528230,doi:10.3389/fagro.2025.1629681,7,8,Thermal and RGB image dataset for detection and management of Fall Army Worm (FAW) infestation in maize,2,4,3,1,1,4,2,4,dataset_introduction,other,FAW_thermal_RGB;MFWD,classification;detection,RGB;thermal;multimodal,high,Thermal and RGB image dataset for detection and management of Fall Army Worm (FAW) infestation in maize,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_b2319924f9402c3c,arxiv:260522034,8,9,AgroVG: A Large-Scale Multi-Source Benchmark for Agricultural Visual Grounding,2,4,2,2,1,4,2,2,benchmark_or_challenge,foundation_models,AgroVG;PlantSeg,visual_question_answering,RGB;text,medium,"AgroVG: 10,071 image-query pairs from 10 sources; 6 target families; bounding-box and instance-mask grounding; 26 model configs benchmarked",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_4e5f6a7b8c9d0e1f,doi:10.3389/fpls.2026.1761249,9,10,PTV2-Fr: a point cloud segmentation network for phenotypic trait extraction and gibberellin effect analysis in sorghum seedlings,2,2,2,2,3,3,2,3,3d_or_phenotyping_method,3d_phenotyping,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,3d_reconstruction,depth,medium,Point Transformer V2 for sorghum seedling phenotyping from 3D point clouds; MRDCA and PG-InvFR modules; gibberellin effect analysis,opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
PR_f897e80bd80a4f3b,doi:10.3390/robotics15040081,10,11,"Robotics in Precision Agriculture: Task-, Platform-, and Evaluation-Oriented Review",2,1,3,1,1,3,1,4,survey_or_review,orchard_robotics,AgriVision,perception;localization;planning,multimodal;UAV;UGV,medium,"Robotics in Precision Agriculture: Task-, Platform-, and Evaluation-Oriented Review",opencode_ai,deepseek-v4-flash-free,EVIDENCE_ROI_V1,2026-07-22T21:00:00Z,,
