seed_row_id,dataset_name,provider,identity_status,selected_run,selected_run_order,selected_provider_work_id,selected_doi,selected_title,identity_evidence,relation_rows,relation_complete,include_relations,exclusion_reason
P001,MuST-C,openalex,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_repair_2026-07-22,1,W7118572638,10.1038/s41597-025-06462-y,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,candidate_id=w7118572638; provider_work_id=w7118572638,45,yes,yes,
P001,MuST-C,semantic_scholar,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_s2_retry_2026-07-22,2,8365b88c4326e8e3eb4015272ece9bc7ac3bb266,10.1038/s41597-025-06462-y,The Multi-Sensor and Multi-Temporal Dataset of Multiple Crops for In-Field Phenotyping and Monitoring,candidate_id=8365b88c4326e8e3eb4015272ece9bc7ac3bb266; provider_work_id=8365b88c4326e8e3eb4015272ece9bc7ac3bb266,5,no,yes,
P002,TomatoMAP,openalex,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_full_2026-07-05,0,W7132822694,10.1038/s41597-026-06926-9,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,candidate_id=w7132822694; provider_work_id=w7132822694,43,yes,yes,
P002,TomatoMAP,semantic_scholar,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_full_2026-07-05,0,a17bd08da0562423eb7cc8543795fc4e04ac2f4c,10.1038/s41597-026-06926-9,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,candidate_id=a17bd08da0562423eb7cc8543795fc4e04ac2f4c; provider_work_id=a17bd08da0562423eb7cc8543795fc4e04ac2f4c,57,yes,yes,
P003,AgriVision,openalex,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_repair_2026-07-22,1,W4417424695,10.1038/s41597-025-06263-3,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,candidate_id=w4417424695; provider_work_id=w4417424695,35,yes,yes,
P004,MFO / Modern Fruit Orchards,openalex,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_repair_2026-07-22,1,W4414197383,10.1109/cvprw67362.2025.00535,A Dataset for Semantic and Instance Segmentation of Modern Fruit Orchards,candidate_id=w4414197383; provider_work_id=w4414197383,58,yes,yes,
P005,Horti-M3-Tomato,openalex,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_repair_2026-07-22,1,W7139031027,10.1038/s41597-026-07074-w,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,candidate_id=w7139031027; provider_work_id=w7139031027,10,yes,yes,
P005,Horti-M3-Tomato,semantic_scholar,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_s2_retry_2026-07-22,2,09593312837b6f472ab2ab8d1a0b9e4020850bbe,10.1038/s41597-026-07074-w,A Three-Year Multimodal Holistic Dataset For Horticultural Tomato Cultivation,candidate_id=09593312837b6f472ab2ab8d1a0b9e4020850bbe; provider_work_id=09593312837b6f472ab2ab8d1a0b9e4020850bbe,20,yes,yes,
P006,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,openalex,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_full_2026-07-05,0,W4416070172,10.1038/s41597-025-06049-7,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,candidate_id=w4416070172; provider_work_id=w4416070172,15,yes,yes,
P006,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,semantic_scholar,accepted,C:\Users\mouadh\Documents\Computer Vision Datasets in Agriculture\outputs\snowball_full_2026-07-05,0,6c709d86cc944306b0a551bb951585ac28a777e8,10.1038/s41597-025-06049-7,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,candidate_id=6c709d86cc944306b0a551bb951585ac28a777e8; provider_work_id=6c709d86cc944306b0a551bb951585ac28a777e8,18,yes,yes,
