severity,code,seed_row_id,provider,message,evidence,recommended_action
high,identity_empty_edges,,,Some edge rows cannot be assigned any canonical identity.,count=16,Quarantine these rows from screening and inspect raw provider responses.
medium,edges_missing_related_title,,,Some relation rows have no related-paper title.,count=16 of 266 (6.0%),Quarantine identity-empty rows or enrich them before canonical screening.
medium,unresolved_provider_seed,P001,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_repair_2026-07-22\cache\b63f06b66d8260a14d49a73be85f9351b523c17e2b8c775fa474eb45cb5428a0.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P003,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_repair_2026-07-22\cache\0114edc4f9fff435a3293bd22cdf9cd874e59a350d2a16837a6de6e6e57355d7.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P004,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_repair_2026-07-22\cache\e415073f63534fd03ab3e4c44829891e3c0627a0a47355f76812bd3e27d02295.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P005,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_repair_2026-07-22\cache\f2204efbf8ab2a1ff9909fcbbadcff17ceb212f0521725172277ee061c2c0a6b.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P007,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_repair_2026-07-22\cache\02fa856860213602c344c7d7c9d6b59a5d5b06c96b6d259620586b8cc56c305e.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P012,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_repair_2026-07-22\cache\94b4d600c2c5b021cc24828eb338d5a3e18ac3d697dbf218ca09b93097785dce.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
medium,unresolved_provider_seed,P013,semantic_scholar,The seed was not resolved by this provider.,reason=unresolved; score=0.0000; cache=outputs\snowball_repair_2026-07-22\cache\529547f4a0f0755ffe6fcbcc543393f60d8b33d0bb6ef6362064ca50df617d64.json,Retry by stable identifier with credentials; retain as unresolved if no exact identity is found.
low,duplicate_title_year_node_groups,,,Multiple node rows share the same normalized title and year.,groups=1,Canonicalize by DOI/arXiv/PMID before title-year fallback and retain provider aliases.
