rank,candidate_id,title,year,authors,venue,doi,arxiv_id,pmid,pmcid,providers,provider_ids,seed_ids,dataset_names,directions,is_open_access,landing_url,pdf_url,abstract
81,doi:10.3390/s23010065,Transformer-Based Weed Segmentation for Grass Management,2022,Kan Jiang; Usman Afzaal; Joonwhoan Lee,Sensors,10.3390/s23010065,,36616662,,openalex,openalex:W4312186383,P003,AgriVision,backward_reference,True,https://doi.org/10.3390/s23010065,https://www.mdpi.com/1424-8220/23/1/65/pdf?version=1671627704,"Weed control is among the most challenging issues for crop cultivation and turf grass management. In addition to hosting various insects and plant pathogens, weeds compete with crop for nutrients, water and sunlight. This results in problems such as the loss of crop yield, the contamination of food crops and disruption in the field aesthetics and practicality. Therefore, effective and efficient weed detection and mapping methods are indispensable. Deep learning (DL) techniques for the rapid recognition and localization of objects from images or videos have shown promising results in various areas of interest, including the agricultural sector. Attention-based Transformer models are a promising alternative to traditional constitutional neural networks (CNNs) and offer state-of-the-art results for multiple tasks in the natural language processing (NLP) domain. To this end, we exploited these models to address the aforementioned weed detection problem with potential applications in automated robots. Our weed dataset comprised of 1006 images for 10 weed classes, which allowed us to develop deep learning-based semantic segmentation models for the localization of these weed classes. The dataset was further augmented to cater for the need of a large sample set of the Transformer models. A study was conducted to evaluate the results of three types of Transformer architectures, which included Swin Transformer, SegFormer and Segmenter, on the dataset, with SegFormer achieving final Mean Accuracy (mAcc) and Mean Intersection of Union (mIoU) of 75.18% and 65.74%, while also being the least computationally expensive, with just 3.7 M parameters."
82,doi:10.3389/fpls.2024.1352935,Semantic segmentation of microbial alterations based on SegFormer,2024,Wael M. Elmessery; Danil V. Maklakov; Tamer M. El‐Messery; Denis Baranenko; Joaquín Gutiérrez; Mahmoud Y. Shams; Tarek Abd El‐Hafeez; Salah Elsayed; Sadeq K. Alhag; Farahat S. Moghanm; Maksim A. Mulyukin; Yuliya Petrova; Abdallah Elshawadfy Elwakeel,Frontiers in Plant Science,10.3389/fpls.2024.1352935,,38938642,,openalex,openalex:W4399651788,P003,AgriVision,backward_reference,True,https://doi.org/10.3389/fpls.2024.1352935,https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2024.1352935/pdf,"Introduction: Precise semantic segmentation of microbial alterations is paramount for their evaluation and treatment. This study focuses on harnessing the SegFormer segmentation model for precise semantic segmentation of strawberry diseases, aiming to improve disease detection accuracy under natural acquisition conditions. Methods: Three distinct Mix Transformer encoders - MiT-B0, MiT-B3, and MiT-B5 - were thoroughly analyzed to enhance disease detection, targeting diseases such as Angular leaf spot, Anthracnose rot, Blossom blight, Gray mold, Leaf spot, Powdery mildew on fruit, and Powdery mildew on leaves. The dataset consisted of 2,450 raw images, expanded to 4,574 augmented images. The Segment Anything Model integrated into the Roboflow annotation tool facilitated efficient annotation and dataset preparation. Results: The results reveal that MiT-B0 demonstrates balanced but slightly overfitting behavior, MiT-B3 adapts rapidly with consistent training and validation performance, and MiT-B5 offers efficient learning with occasional fluctuations, providing robust performance. MiT-B3 and MiT-B5 consistently outperformed MiT-B0 across disease types, with MiT-B5 achieving the most precise segmentation in general. Discussion: The findings provide key insights for researchers to select the most suitable encoder for disease detection applications, propelling the field forward for further investigation. The success in strawberry disease analysis suggests potential for extending this approach to other crops and diseases, paving the way for future research and interdisciplinary collaboration."
83,doi:10.1016/j.ophoto.2024.100078,Domain adaptation of deep neural networks for tree part segmentation using synthetic forest trees,2024,Mitch Bryson; Ahalya Ravendran; Céline Mercier; Tancred Frickey; Sadeepa Jayathunga; Grant D. Pearse; Robin J. L. Hartley,ISPRS Open Journal of Photogrammetry and Remote Sensing,10.1016/j.ophoto.2024.100078,,,,openalex,openalex:W4404407154,P004,MFO / Modern Fruit Orchards,backward_reference,True,https://doi.org/10.1016/j.ophoto.2024.100078,,"Supervised deep learning algorithms have recently achieved state-of-the-art performance in the classification, segmentation and analysis of 3D LiDAR point cloud data in a wide-range of applications and environments. One of the main downsides of deep learning-based approaches is the need for extensive training datasets, i.e . LiDAR point clouds that have been annotated for target tasks by human experts. One strategy for addressing this issue is the use of simulated/synthetic data (with automatically generated annotations) for training models which can then be deployed on real target data/environments. This paper explores using synthetic data of realistic forest trees to train deep learning models for tree part segmentation from real forest LiDAR data. We develop a new pipeline for generating high-fidelity simulated LiDAR scans of synthetic forest trees and combine this with an unsupervised domain adaptation strategy to adapt models trained on synthetic data to LiDAR data captured in real forest environments. Models were trained for semantic segmentation of tree parts using a PointNet++ architecture and evaluated across a range of medium to high-resolution laser scanning datasets collected across both ground-based and aerial platforms in multiple forest environments. Results of our work indicated that models trained on our synthetic data pipeline were competitive with models trained on real data, in particular when real data came from non-target sites, and our unsupervised domain adaptation method further improved performance. Our approach has implications for reducing the burden required in manual human expert annotation of large LiDAR datasets required to achieve high-performance from deep learning methods for forest analysis. The use of synthetically-trained models shown here provides a potential way to reduce the barriers to the use of deep learning in large-scale forest analysis, with implications to applications ranging from forest inventories to scaling-up in-situ forest phenotyping."
84,doi:10.1002/aps3.11373,Instance segmentation for the fine detection of crop and weed plants by precision agricultural robots,2020,Julien Champ; Adán Mora-Fallas; Hervé Goëau; Erick Mata‐Montero; Pierre Bonnet; Alexis Joly,Applications in Plant Sciences,10.1002/aps3.11373,,32765972,7394709,openalex; semantic_scholar,openalex:W3045780708; semantic_scholar:9e59bb465c08f90ca49a51bbea5275cb99138b9b,P008; P010; P012,MFWD; SoyCotton; WeedsGalore,backward_reference,True,https://www.semanticscholar.org/paper/9e59bb465c08f90ca49a51bbea5275cb99138b9b,https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aps3.11373,"PREMISE: Weed removal in agriculture is typically achieved using herbicides. The use of autonomous robots to reduce weeds is a promising alternative solution, although their implementation requires the precise detection and identification of crops and weeds to allow an efficient action. METHODS: We trained and evaluated an instance segmentation convolutional neural network aimed at segmenting and identifying each plant specimen visible in images produced by agricultural robots. The resulting data set comprised field images on which the outlines of 2489 specimens from two crop species and four weed species were manually drawn. We adjusted the hyperparameters of a mask region-based convolutional neural network (R-CNN) to this specific task and evaluated the resulting trained model. RESULTS: The probability of detection using the model was quite good but varied significantly depending on the species and size of the plants. In practice, between 10% and 60% of weeds could be removed without too high of a risk of confusion with crop plants. Furthermore, we show that the segmentation of each plant enabled the determination of precise action points such as the barycenter of the plant surface. DISCUSSION: Instance segmentation opens many possibilities for optimized weed removal actions. Weed electrification, for instance, could benefit from the targeted adjustment of the voltage, frequency, and location of the electrode to the plant. The results of this work will enable the evaluation of this type of weeding approach in the coming months."
85,doi:10.1016/j.dib.2024.110821,FruitSeg30_Segmentation dataset &amp; mask annotations: A novel dataset for diverse fruit segmentation and classification,2024,F. M. Javed Mehedi Shamrat; Rashiduzzaman Shakil; Mohd Yamani Idna Idris; Bonna Akter; Xujuan Zhou,Data in Brief,10.1016/j.dib.2024.110821,,39252785,,openalex,openalex:W4401487157,P003,AgriVision,backward_reference,True,https://doi.org/10.1016/j.dib.2024.110821,,"Fruits are mature ovaries of flowering plants that are integral to human diets, providing essential nutrients such as vitamins, minerals, fiber and antioxidants that are crucial for health and disease prevention. Accurate classification and segmentation of fruits are crucial in the agricultural sector for enhancing the efficiency of sorting and quality control processes, which significantly benefit automated systems by reducing labor costs and improving product consistency. This paper introduces the ""FruitSeg30_Segmentation Dataset & Mask Annotations"", a novel dataset designed to advance the capability of deep learning models in fruit segmentation and classification. Comprising 1969 high-quality images across 30 distinct fruit classes, this dataset provides diverse visuals essential for a robust model. Utilizing a U-Net architecture, the model trained on this dataset achieved training accuracy of 94.72 %, validation accuracy of 92.57 %, precision of 94 %, recall of 91 %, f1-score of 92.5 %, IoU score of 86 %, and maximum dice score of 0.9472, demonstrating superior performance in segmentation tasks. The FruitSeg30 dataset fills a critical gap and sets new standards in dataset quality and diversity, enhancing agricultural technology and food industry applications."
86,doi:10.1109/lra.2023.3262417,Towards Domain Generalization in Crop and Weed Segmentation for Precision Farming Robots,2023,Jan Weyler; Thomas Läbe; Federico Magistri; Jens Behley; Cyrill Stachniss,IEEE Robotics and Automation Letters,10.1109/lra.2023.3262417,,,,openalex; semantic_scholar,openalex:W4361029882; semantic_scholar:58903a38a763bcbb95f2d83e68561b0a140e4128,P010,WeedsGalore,backward_reference,False,https://www.semanticscholar.org/paper/58903a38a763bcbb95f2d83e68561b0a140e4128,,"Precision farming robots offer the potential to reduce the amount of used agrochemicals through targeted interventions and thus are a promising step towards sustainable agriculture. A prerequisite for such systems is a robust plant classification system that can identify crops and weeds in various agricultural fields. Most vision-based systems train convolutional neural networks (CNNs) on a given dataset, i.e., the source domain, to perform semantic segmentation of images. However, deploying these models on unseen fields, i.e., in the target domain, often shows a low generalization capability. Enhancing the generalization capability of CNNs is critical to increasing their performance on target domains with different operational conditions. In this letter, we present a domain generalized semantic segmentation approach for robust crop and weed detection by effectively extending and diversifying the source domain to achieve high performance across different agricultural field conditions. We propose to leverage unlabeled images captured from various agricultural fields during training in a two-step framework. First, we suggest a method to automatically compute sparse annotations and use them to present the model more plant varieties and growth stages to enhance its generalization capability. Among others, we exploit unlabeled images from fields containing crops sown in rows. Second, we propose a style transfer method that renders the source domain images in the style of images from various fields to achieve increased diversification. We conduct extensive experiments and show that we achieve superior performance in crop-weed segmentation across various fields compared to state-of-the-art methods."
87,doi:10.1016/j.rineng.2026.110612,A robust fusion–pruning framework for lightweight CNNs: Application to apple leaf disease diagnosis under real-world image corruptions,2026,Oluwaseun O. Martins; Christiaan C. Oosthuizen; Dawood A. Desai,Results in Engineering,10.1016/j.rineng.2026.110612,,,,openalex,openalex:W7154904387,P003,AgriVision,forward_citation,True,https://doi.org/10.1016/j.rineng.2026.110612,,"Timely and reliable plant disease detection is essential for precision agriculture; however, achieving robustness under real-world image degradations while maintaining edge deployability remains challenging. This study proposes a unified fusion–pruning framework that integrates complementary feature representations from MobileNetV2 and NASNetMobile, combined with unstructured magnitude-based pruning to enhance robustness and computational efficiency. The framework is evaluated on a four-class apple leaf dataset (3,171 images) derived from the PlantVillage dataset, with cross-domain validation on the PlantDoc dataset. Baseline models achieve high clean-set accuracy (up to 97.49%) but exhibit notable degradation under corruption. In contrast, the proposed pruned fusion model attains 97.81% accuracy and consistently outperforms baseline models across common image corruptions, including noise, blur, and illumination distortions. Statistical validation using ANOVA and cross-validation confirms the significance and consistency of these improvements. Robustness metrics, including Area Under the Curve (AUC) and mean Corruption Error (mCE), further demonstrate monotonic performance gains with increasing sparsity, identifying an optimal pruning range of 50–70%, where sparsification effectively acts as an implicit feature selection mechanism. To enhance interpretability and trust, Grad-CAM++-based attention analysis is incorporated, with quantitative evaluation of attention alignment demonstrating improved localization of disease-relevant regions in the pruned fusion model. From a deployment perspective, the 70% pruned model achieves an effective trade-off between robustness and efficiency (31.49 MB), while post-training quantization reduces the model size to 8.44 MB, enabling deployment in resource-constrained environments. Overall, the proposed framework provides a scalable, interpretable, and reproducible solution for corruption-resilient edge AI in plant disease diagnosis."
88,doi:10.1007/s00371-025-04351-4,GenYOLO-leaf: a data-centric and open source framework for generalizable leaf instance segmentation across diverse datasets,2026,A. Yıldırım; Ramazan Terzi,The Visual Computer,10.1007/s00371-025-04351-4,,,,semantic_scholar,semantic_scholar:69dc3cd8446a7a68e16dc9377ed1ac9e29232dd5,P008,SoyCotton,forward_citation,True,https://www.semanticscholar.org/paper/69dc3cd8446a7a68e16dc9377ed1ac9e29232dd5,https://link.springer.com/content/pdf/10.1007/s00371-025-04351-4.pdf,"Ensuring plant sustainability is critically important across numerous domains. Specifically, the detection and segmentation of leaves are essential for tasks such as identifying plant diseases, monitoring plant growth, and determining plant phenotypes. However, the limited diversity in both data and species within existing datasets prepared for instance segmentation tasks often leads to the development of models with poor generalization capabilities and significant biases. This study introduces GenYOLO-Leaf, a data-centric, open-source framework designed to address these limitations. GenYOLO-Leaf facilitates instance-based leaf segmentation with improved generalization capabilities using different data sets with enriched label information by extracting approximately 145K leaf instances. It can also serve as a valuable resource for transfer learning across various segmentation tasks. The developed framework underwent zero-shot evaluation using a total of eight distinct datasets: four for instance segmentation and four for semantic segmentation. Experimental results indicate that the framework achieved mAP scores ranging from 62 to 84% on instance segmentation datasets, while producing mean IoU scores between 86 and 99% on semantic segmentation datasets. The GenYOLO-Leaf framework that includes model weights for YOLOv11 and YOLOv8 is publicly available at https://github.com/aaslihanyildirim/GenYOLO-Leaf."
89,doi:10.1186/s13007-020-00573-w,ROSE-X: an annotated data set for evaluation of 3D plant organ segmentation methods,2020,Helin Dutağacı; Pejman Rasti; Gilles Galopin; David Rousseau,Plant Methods,10.1186/s13007-020-00573-w,,32158494,7057657,openalex; semantic_scholar,openalex:W3012298690; semantic_scholar:3002ac77f7174c25d25d04f8cda2da9a9fa43b31,P006; P009; P013,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes; TomatoPGT ecosystem; TomatoWUR,backward_reference,True,https://www.semanticscholar.org/paper/3002ac77f7174c25d25d04f8cda2da9a9fa43b31,https://plantmethods.biomedcentral.com/track/pdf/10.1186/s13007-020-00573-w,"BACKGROUND: The production and availability of annotated data sets are indispensable for training and evaluation of automatic phenotyping methods. The need for complete 3D models of real plants with organ-level labeling is even more pronounced due to the advances in 3D vision-based phenotyping techniques and the difficulty of full annotation of the intricate 3D plant structure. RESULTS: We introduce the ROSE-X data set of 11 annotated 3D models of real rosebush plants acquired through X-ray tomography and presented both in volumetric form and as point clouds. The annotation is performed manually to provide ground truth data in the form of organ labels for the voxels corresponding to the plant shoot. This data set is constructed to serve both as training data for supervised learning methods performing organ-level segmentation and as a benchmark to evaluate their performance. The rosebush models in the data set are of high quality and complex architecture with organs frequently touching each other posing a challenge for the current plant organ segmentation methods. We report leaf/stem segmentation results obtained using four baseline methods. The best performance is achieved by the volumetric approach where local features are trained with a random forest classifier, giving Intersection of Union (IoU) values of 97.93% and 86.23% for leaf and stem classes, respectively. CONCLUSION: We provided an annotated 3D data set of 11 rosebush plants for training and evaluation of organ segmentation methods. We also reported leaf/stem segmentation results of baseline methods, which are open to improvement. The data set, together with the baseline results, has the potential of becoming a significant resource for future studies on automatic plant phenotyping."
90,doi:10.1016/j.knosys.2024.112655,Advanced drone-based weed detection using feature-enriched deep learning approach,2024,Mobeen Ur Rehman; Hassan Eesaar; Zeeshan Abbas; Lakmal Seneviratne; Irfan Hussain; Kil To Chong,Knowledge-Based Systems,10.1016/j.knosys.2024.112655,,,,openalex,openalex:W4403680880,P003,AgriVision,backward_reference,True,https://doi.org/10.1016/j.knosys.2024.112655,,"This research addresses the pressing challenge of weed identification in agriculture, crucial for ensuring food security in anticipation of a global population exceeding 9.7 billion by 2050. Utilizing drone imagery, we collected a dataset and proposed a customized model to achieve optimal performance. Our proposed model uses strategically modified backbone, neck, and head components, leveraging elements such as Ghost Convolution, BottleNeckCSP, and ECA (Efficient Channel Attention) layers. These modifications enhance the model’s capability to discern intricate patterns in drone imagery, ultimately leading to improved precision in weed detection. We introduce a purposefully crafted dataset to complement the model’s training, and our experiments demonstrate superior performance compared to the baseline models. Our model achieves a precision of 72.5%, recall of 68.0%, and mAP@0.5 of 73.9, showcasing the effectiveness of our approach in enhancing detection accuracy. Leveraging a unique blend of feature extraction mechanisms, our model achieves remarkable accuracy in real-time soybean detection, outperforming established models like RT-DETR (Real-Time DEtection TransfoRmer) and YOLOv10. A detailed ablation study and comparative analysis with different YOLO versions and the transformer-based RT-DETR showcase the effectiveness of the proposed enhancements. Our work signifies a significant step towards advancing the field of precision agriculture, offering a model that is not only adaptive but also robust in identifying and localizing weeds in soybean fields."
